name,id,description,image
Black Widow (Marvel Cinematic Universe),MCU3,"Badass, Coordinated, Active, Motivated, Diligent, Pro",https://openpsychometrics.org/tests/characters/test-resources/pics/MCU/3.jpg
Friar Laurence (Romeo and Juliet),RJ3,"Bookish, Old, Theist, Vintage, Intellectual, Nerd",https://openpsychometrics.org/tests/characters/test-resources/pics/RJ/3.jpg
Xander Harris (Buffy the Vampire Slayer),BVS2,"Devoted, First-Mate, Boy/Girl-Next-Door, Cheesy, Chatty, Loyal",https://openpsychometrics.org/tests/characters/test-resources/pics/BVS/2.jpg
Cassie Howard (Euphoria),EU3,"Beautiful, Feminine, Sexual, Flower Child, 💃, Gendered",https://openpsychometrics.org/tests/characters/test-resources/pics/EU/3.jpg
Samantha Jones (Sex and the City),SC4,"Sexual, Bold, 💃, Playful, Open To New Experinces, Adventurous",https://openpsychometrics.org/tests/characters/test-resources/pics/SC/4.jpg
Miranda Hobbes (Sex and the City),SC3,"Competent, Driven, Workaholic, High Iq, Diligent, Feminist",https://openpsychometrics.org/tests/characters/test-resources/pics/SC/3.jpg
Betsy Heron (Mean Girls),MG10,"Side Character, Non-Gamer, Studious, Vintage, Well Behaved, Diligent",https://openpsychometrics.org/tests/characters/test-resources/pics/MG/10.jpg
Jim Halpert (The Office),TO3,"Funny, Good-Humored, Straight, 💝, Tall, Playful",https://openpsychometrics.org/tests/characters/test-resources/pics/TO/3.jpg
Mr. Big (Sex and the City),SC5,"Rich, Straight, Masculine, Privileged, City-Slicker, Gendered",https://openpsychometrics.org/tests/characters/test-resources/pics/SC/5.jpg
Cristina Yang (Grey's Anatomy),GA2,"High Iq, Workaholic, Motivated, Driven, 👨‍⚕️, Work-First",https://openpsychometrics.org/tests/characters/test-resources/pics/GA/2.jpg
Captain Marvel (Marvel Cinematic Universe),MCU5,"Independent, Feminist, Mighty, Dominant, Active, Persistent",https://openpsychometrics.org/tests/characters/test-resources/pics/MCU/5.jpg
Carrie Bradshaw (Sex and the City),SC1,"City-Slicker, Stylish, Cosmopolitan, Feminine, Literary, Urban",https://openpsychometrics.org/tests/characters/test-resources/pics/SC/1.jpg
Phyllis Lapin (The Office),TO12,"Vintage, Bookish, Devoted, Thick, Gatherer, Gendered",https://openpsychometrics.org/tests/characters/test-resources/pics/TO/12.jpg
Izzie Stevens (Grey's Anatomy),GA3,"Love-Focused, Emotional, Flower Child, Emotional, Feminine, Beautiful",https://openpsychometrics.org/tests/characters/test-resources/pics/GA/3.jpg
Addison Montgomery (Grey's Anatomy),GA10,"👨‍⚕️, Manicured, High Iq, Rich, Queen, City-Slicker",https://openpsychometrics.org/tests/characters/test-resources/pics/GA/10.jpg
Angel (Buffy the Vampire Slayer),BVS6,"Night Owl, Dramatic, Gloomy, Reserved, Rock, Sorrowful",https://openpsychometrics.org/tests/characters/test-resources/pics/BVS/6.jpg
George O'Malley (Grey's Anatomy),GA5,"Kind, White Knight, Emotional, Nerd, Love-Focused, Soulful, Flower Child",https://openpsychometrics.org/tests/characters/test-resources/pics/GA/5.jpg
Meredith Grey (Grey's Anatomy),GA1,"Main Character, 👨‍⚕️, Driven, High Iq, Workaholic, Important",https://openpsychometrics.org/tests/characters/test-resources/pics/GA/1.jpg
Dana Scully (The X-Files),XF2,"Competent, High Iq, Diligent, Factual, Scientific, Valedictorian",https://openpsychometrics.org/tests/characters/test-resources/pics/XF/2.jpg
Derek Shepherd (Grey's Anatomy),GA9,"Charming, Straight, Sexual, Beautiful, 👨‍⚕️, High Iq",https://openpsychometrics.org/tests/characters/test-resources/pics/GA/9.jpg
Iroh (Avatar: The Last Airbender),ALA7,"Loveable, Knowledgeable, Soulful, Patient, Empath, Treasure",https://openpsychometrics.org/tests/characters/test-resources/pics/ALA/7.jpg
Dwight Schrute (The Office),TO2,"On-Time, Persistent, Opinionated, Intense, Strict, Diligent",https://openpsychometrics.org/tests/characters/test-resources/pics/TO/2.jpg
Peggy Carter (Marvel Cinematic Universe),MCU12,"Diligent, Loyal, Competent, Self-Disciplined, Beautiful, Heroic",https://openpsychometrics.org/tests/characters/test-resources/pics/MCU/12.jpg
Buffy Summers (Buffy the Vampire Slayer),BVS1,"Main Character, Protagonist, Badass, Persistent, Active, Chosen One",https://openpsychometrics.org/tests/characters/test-resources/pics/BVS/1.jpg
Miranda Bailey (Grey's Anatomy),GA6,"Diligent, Valedictorian, Competent, Workaholic, Badass, Queen",https://openpsychometrics.org/tests/characters/test-resources/pics/GA/6.jpg
Rupert Giles (Buffy the Vampire Slayer),BVS5,"Bookish, High Iq, Diligent, Knowledgeable, Eloquent, Nerd, Workaholic",https://openpsychometrics.org/tests/characters/test-resources/pics/BVS/5.jpg
Lexi Howard (Euphoria),EU5,"Egalitarian, Fresh, Feminine, Boy/Girl-Next-Door, 🧠, Feminist",https://openpsychometrics.org/tests/characters/test-resources/pics/EU/5.jpg
Steve Brady (Sex and the City),SC6,"Boy/Girl-Next-Door, 🧢, Family-First, Kind, Not Genocidal, Thrifty",https://openpsychometrics.org/tests/characters/test-resources/pics/SC/6.jpg
Preston Burke (Grey's Anatomy),GA8,"Self-Disciplined, Workaholic, Coordinated, High Iq, Driven, Scheduled",https://openpsychometrics.org/tests/characters/test-resources/pics/GA/8.jpg
Stanley Hudson (The Office),TO8,"🛌, Bored, Straight, Slothful, Frank, Sleepy",https://openpsychometrics.org/tests/characters/test-resources/pics/TO/8.jpg
Richard Webber (Grey's Anatomy),GA7,"High Iq, Master, Straight, 👨‍⚕️, Valedictorian, Workaholic",https://openpsychometrics.org/tests/characters/test-resources/pics/GA/7.jpg
Alex Karev (Grey's Anatomy),GA4,"Straight, Sexual, Masculine, Bold, Cocky, Flirtatious",https://openpsychometrics.org/tests/characters/test-resources/pics/GA/4.jpg
Gandalf (Lord of the Rings),LOTR6,"High Iq, Pro, Master, Important, Knowledgeable, Old",https://openpsychometrics.org/tests/characters/test-resources/pics/LOTR/6.jpg
Fox Mulder (The X-Files),XF1,"Main Character, Curious, Conspiracist, Persistent, Motivated, Open To New Experinces",https://openpsychometrics.org/tests/characters/test-resources/pics/XF/1.jpg
Pam Beesly (The Office),TO4,"🎨, Flower Child, Straight, Boy/Girl-Next-Door, Artistic, Kind, Nurturing, Love-Focused",https://openpsychometrics.org/tests/characters/test-resources/pics/TO/4.jpg
Michael Scott (The Office),TO1,"Main Character, Chatty, Impulsive, Loud, Dramatic, Goof-Off",https://openpsychometrics.org/tests/characters/test-resources/pics/TO/1.jpg
Kelly Kapoor (The Office),TO13,"Chatty, Gossiping, Dramatic, Emotional, Fast-Talking, Feminine",https://openpsychometrics.org/tests/characters/test-resources/pics/TO/13.jpg
Benvolio (Romeo and Juliet),RJ6,"Italian, Young, Rich, French, Side Character, Loyal",https://openpsychometrics.org/tests/characters/test-resources/pics/RJ/6.jpg
Zuko (Avatar: The Last Airbender),ALA2,"Fire, Driven, Important, Persistent, Complicated, Tense, 🤺",https://openpsychometrics.org/tests/characters/test-resources/pics/ALA/2.jpg
Kevin Malone (The Office),TO9,"🛌, Clumsy, Slothful, Oblivious, Thick, Slow",https://openpsychometrics.org/tests/characters/test-resources/pics/TO/9.jpg
Cordelia Chase (Buffy the Vampire Slayer),BVS4,"Manicured, Extravagant, Feminine, Stylish, Gendered, Bossy, Social",https://openpsychometrics.org/tests/characters/test-resources/pics/BVS/4.jpg
Angela Martin (The Office),TO11,"Cat Person, Judgemental, Strict, Scheduled, Tense, Offended",https://openpsychometrics.org/tests/characters/test-resources/pics/TO/11.jpg
Andy Bernard (The Office),TO6,"Privileged, Chatty, Expressive, Dramatic, Extrovert, Emotional",https://openpsychometrics.org/tests/characters/test-resources/pics/TO/6.jpg
Azula (Avatar: The Last Airbender),ALA6,"Fire, Competitive, Bossy, Driven, Overachiever, Intense",https://openpsychometrics.org/tests/characters/test-resources/pics/ALA/6.jpg
Jan Levinson (The Office),TO7,"Dominant, Demanding, Bossy, Assertive, Jaded, Sexual",https://openpsychometrics.org/tests/characters/test-resources/pics/TO/7.jpg
Legolas (Lord of the Rings),LOTR8,"Coordinated, Active, Heroic, Loyal, Pro, Competent",https://openpsychometrics.org/tests/characters/test-resources/pics/LOTR/8.jpg
Firelord Ozai (Avatar: The Last Airbender),ALA8,"Fire, Intense, Serious, Dominant, Strict, Hard",https://openpsychometrics.org/tests/characters/test-resources/pics/ALA/8.jpg
Sokka (Avatar: The Last Airbender),ALA5,"Loyal, Loud, Heroic, Funny, Chatty, 😜",https://openpsychometrics.org/tests/characters/test-resources/pics/ALA/5.jpg
Toph Beifong (Avatar: The Last Airbender),ALA4,"Earth, Badass, Frank, Pro, F***-The-Police, Sturdy",https://openpsychometrics.org/tests/characters/test-resources/pics/ALA/4.jpg
Samwise Gamgee (Lord of the Rings),LOTR5,"Loyal, Kind, Heroic, Grateful, 😇, Devoted",https://openpsychometrics.org/tests/characters/test-resources/pics/LOTR/5.jpg
Ryan Howard (The Office),TO5,"Entitled, Arrogant, Selfish, Receiving, City-Slicker, Money-Focused",https://openpsychometrics.org/tests/characters/test-resources/pics/TO/5.jpg
Katara (Avatar: The Last Airbender),ALA3,"Water, Loyal, Devoted, Heroic, Soulful, Diligent",https://openpsychometrics.org/tests/characters/test-resources/pics/ALA/3.jpg
Aang (Avatar: The Last Airbender),ALA1,"Loyal, Kind, Heroic, Soulful, Vegan, Important, Egalitarian",https://openpsychometrics.org/tests/characters/test-resources/pics/ALA/1.jpg
Meredith Palmer (The Office),TO10,"Indulgent, Kinky, Scandalous, Jaded, Wild, F***-The-Police",https://openpsychometrics.org/tests/characters/test-resources/pics/TO/10.jpg
Dan Humphrey (Gossip Girl),GOG3,"Bookish, Boy/Girl-Next-Door, Nerd, 🧠, Perceptive, Two-Faced",https://openpsychometrics.org/tests/characters/test-resources/pics/GOG/3.jpg
Frodo Baggins (Lord of the Rings),LOTR1,"Short, Protagonist, Main Character, Country-Bumpkin, Heroic, Kind",https://openpsychometrics.org/tests/characters/test-resources/pics/LOTR/1.jpg
Kelly Erin Hannon (The Office),TO14,"Flower Child, Optimistic, Sunny, Kind, Cheery, Sweet",https://openpsychometrics.org/tests/characters/test-resources/pics/TO/14.jpg
Boromir (Lord of the Rings),LOTR3,"Masculine, Bold, Jock, Doer, Driven, Opinionated",https://openpsychometrics.org/tests/characters/test-resources/pics/LOTR/3.jpg
Meg March (Little Women),LW2,"Beautiful, Feminine, Civilized, Family-First, Flower Child, Devoted",https://openpsychometrics.org/tests/characters/test-resources/pics/LW/2.jpg
Amy March (Little Women),LW3,"🎨, Beautiful, Artistic, Feminine, Manicured, Stylish",https://openpsychometrics.org/tests/characters/test-resources/pics/LW/3.jpg
Rosa Diaz (Brooklyn Nine-Nine),B992,"Secretive, Badass, Dominant, Punk Rock, Independent, Private",https://openpsychometrics.org/tests/characters/test-resources/pics/B99/2.jpg
Raymond Holt (Brooklyn Nine-Nine),B996,"Self-Disciplined, On-Time, Neat, Valedictorian, Diligent, Competent",https://openpsychometrics.org/tests/characters/test-resources/pics/B99/6.jpg
Merry Brandybuck (Lord of the Rings),LOTR4,"Short, Summer, Loyal, Kind, Good-Humored, Flower Child",https://openpsychometrics.org/tests/characters/test-resources/pics/LOTR/4.jpg
Walter Skinner (The X-Files),XF3,"Serious, Masculine, Rational, 🐴, Self-Disciplined, Gendered, Studious",https://openpsychometrics.org/tests/characters/test-resources/pics/XF/3.jpg
Gollum (Lord of the Rings),LOTR10,"Obsessed, Self-Destructive, Moody, Scruffy, Freak, Weird",https://openpsychometrics.org/tests/characters/test-resources/pics/LOTR/10.jpg
Terry Jeffords (Brooklyn Nine-Nine),B993,"Active, 🏋️‍♂️, Loyal, Tall, Healthy, Egalitarian",https://openpsychometrics.org/tests/characters/test-resources/pics/B99/3.jpg
Serena van der Woodsen (Gossip Girl),GOG1,"Rich, 💃, Privileged, Sexual, Playful, Bold",https://openpsychometrics.org/tests/characters/test-resources/pics/GOG/1.jpg
Aragorn (Lord of the Rings),LOTR2,"Heroic, Loyal, Competent, Diligent, Active, Badass",https://openpsychometrics.org/tests/characters/test-resources/pics/LOTR/2.jpg
Eric Forman (That 70's Show),T7S1,"Nerd, Boy/Girl-Next-Door, 🧠, Thin, Rock, Bookish",https://openpsychometrics.org/tests/characters/test-resources/pics/T7S/1.jpg
Theodore Laurence (Little Women),LW6,"Rich, Beautiful, Privileged, Love-Focused, Young, Attractive",https://openpsychometrics.org/tests/characters/test-resources/pics/LW/6.jpg
Gimli (Lord of the Rings),LOTR7,"Earth, Short, Masculine, Scruffy, Loyal, One-Faced",https://openpsychometrics.org/tests/characters/test-resources/pics/LOTR/7.jpg
Jo March (Little Women),LW1,"Feminist, Literary, Driven, Open To New Experinces, Independent, High Iq",https://openpsychometrics.org/tests/characters/test-resources/pics/LW/1.jpg
Marmee March (Little Women),LW5,"Kind, Nurturing, Loyal, Clean, Empath, Mature, Generous",https://openpsychometrics.org/tests/characters/test-resources/pics/LW/5.jpg
Charles Boyle (Brooklyn Nine-Nine),B995,"Emotional, Loyal, Love-Focused, Kind, Devoted, Romantic, Touchy-Feely",https://openpsychometrics.org/tests/characters/test-resources/pics/B99/5.jpg
Beth March (Little Women),LW4,"Kind, Clean, 😇, Loyal, Wholesome, Angelic",https://openpsychometrics.org/tests/characters/test-resources/pics/LW/4.jpg
Jake Peralta (Brooklyn Nine-Nine),B991,"Playful, Funny, Chatty, Main Character, Loud, Expressive",https://openpsychometrics.org/tests/characters/test-resources/pics/B99/1.jpg
Pippin Took (Lord of the Rings),LOTR9,"Short, Curious, Kind, Loyal, Good-Humored, Funny, Young, Chatty",https://openpsychometrics.org/tests/characters/test-resources/pics/LOTR/9.jpg
Nate Archibald (Gossip Girl),GOG4,"Beautiful, Preppy, Privileged, Sexual, City-Slicker, 🏀",https://openpsychometrics.org/tests/characters/test-resources/pics/GOG/4.jpg
Kitty Forman (That 70's Show),T7S7,"Emotional, Feminine, Short, Flower Child, Devoted, Family-First",https://openpsychometrics.org/tests/characters/test-resources/pics/T7S/7.jpg
Amy Santiago (Brooklyn Nine-Nine),B994,"Valedictorian, Self-Disciplined, Neat, Overachiever, Scheduled, Workaholic",https://openpsychometrics.org/tests/characters/test-resources/pics/B99/4.jpg
Blair Waldorf (Gossip Girl),GOG2,"Rich, Manicured, Feminine, City-Slicker, Competitive, 🤑",https://openpsychometrics.org/tests/characters/test-resources/pics/GOG/2.jpg
Donna Pinciotti (That 70's Show),T7S5,"Tall, Feminist, Beautiful, Boy/Girl-Next-Door, Badass, Competent",https://openpsychometrics.org/tests/characters/test-resources/pics/T7S/5.jpg
Michael Kelso (That 70's Show),T7S3,"Goof-Off, Sexual, Impulsive, Playful, Playful, Plays Hard",https://openpsychometrics.org/tests/characters/test-resources/pics/T7S/3.jpg
Lily van der Woodsen (Gossip Girl),GOG6,"Rich, City-Slicker, Feminine, Privileged, Manicured, Extravagant",https://openpsychometrics.org/tests/characters/test-resources/pics/GOG/6.jpg
Chuck Bass (Gossip Girl),GOG5,"Rich, Sexual, 🤑, Dominant, Extravagant, City-Slicker",https://openpsychometrics.org/tests/characters/test-resources/pics/GOG/5.jpg
Steven Hyde (That 70's Show),T7S4,"F***-The-Police, Rock, Punk Rock, Rebellious, Freelance, Outlaw",https://openpsychometrics.org/tests/characters/test-resources/pics/T7S/4.jpg
Fez (That 70's Show),T7S6,"Gullible, Love-Focused, Lover, Flower Child, Expressive, Chatty",https://openpsychometrics.org/tests/characters/test-resources/pics/T7S/6.jpg
